gene,log2FoldChange,log2FoldChange
Cldn14 ,-3.382099284,-3.958608541
Col20a1 ,-2.073663795,-2.266995081
Hapln2 ,-2.187591143,-2.246579031
Mal ,-2.704586402,-2.128150685
Casr ,-1.657222306,-2.110504511
Cyp2j12 ,-3.425214084,-1.996708065
Mog ,-2.19059466,-1.952718432
Galnt6 ,-2.164399805,-1.844131012
Ermn ,-2.074599751,-1.832936045
Pdlim2 ,-2.053454157,-1.831286584
Rab7b ,-1.881929748,-1.816188192
Il23a ,-1.472049111,-1.748639354
Nipal4 ,-1.613411716,-1.745480827
Tmem88b ,-1.871212631,-1.667061632
Bfsp2 ,-1.555920087,-1.661567836
Tmem125 ,-1.665602646,-1.661430042
Plxnb3 ,-1.515433662,-1.586253551
Klk6 ,-2.600107968,-1.578944877
Il12rb1 ,-2.154552585,-1.574833653
Atp10b ,-1.491691355,-1.54952029
Mag ,-1.637378759,-1.531179782
Pdzph1 ,-1.143118663,-1.494102828
Rlbp1 ,-2.015613987,-1.468373358
Anln ,-1.901843274,-1.437941165
Plp1 ,-1.530592568,-1.424230075
Gjc3 ,-1.409194952,-1.414893034
Tspan2,-1.556967667,-1.386130445
Tnni1 ,-1.562380203,-1.368964505
Fa2h ,-1.459805598,-1.366840929
Padi2 ,-1.528968371,-1.338719693
Tmem141 ,-1.391220236,-1.314031582
Insc ,-1.227122376,-1.312850403
Hsd11b1 ,-1.651681872,-1.304898166
Sgk2 ,-1.522462576,-1.290809967
Plekhh1 ,-1.495171548,-1.285813319
Lad1 ,-1.638291569,-1.281609461
Pla2g4a ,-1.17444618,-1.261495506
Slc45a3 ,-1.177004151,-1.230158955
Pde8a ,-1.464346055,-1.221303711
Cldn11 ,-1.314185826,-1.217065303
S1pr5 ,-1.330135893,-1.216235039
Smco3 ,-1.639760287,-1.212458476
Gjc2 ,-1.117632394,-1.210993589
Cdh19 ,-1.394552847,-1.19960047
Ppp1r14a ,-1.103185486,-1.194507551
Sema4d ,-1.140704979,-1.189653254
Rtkn2 ,-1.050712446,-1.177531577
Erbb3 ,-1.38968925,-1.148252443
Alox5 ,-1.177629854,-1.143036065
Plekhb1 ,-1.321490816,-1.135863723
Cers2 ,-1.069682639,-1.133468279
Elovl1 ,-1.04770452,-1.074615421
Prr5l ,-1.399888688,-1.064241641
Barx2 ,-1.070214459,-1.062966995
Evi2a ,-1.393457814,-1.059627003
Cryab ,-1.511583611,-1.05104807
Aspa ,-1.205846108,-1.036277317
Ninj2 ,-2.052902352,-1.019029664
Gsn ,-1.140198879,-1.01668132
H4c9 ,1.642107467,1.10237516
Cdkn1a ,1.09175543,1.117804486
H4c8 ,1.954919494,1.333983063
H1f4 ,1.717252183,1.551282453
Eda2r ,2.08204587,1.623271203