"","CRE","DSVA","XDP"
"1700003D09Rik",TRUE,TRUE,TRUE
"2610028E06Rik",TRUE,TRUE,TRUE
"4833415N18Rik",TRUE,FALSE,TRUE
"A730018C14Rik",TRUE,TRUE,TRUE
"A730046J19Rik",TRUE,TRUE,TRUE
"AW551984",TRUE,TRUE,TRUE
"Abcc12",TRUE,TRUE,FALSE
"Abhd11os",TRUE,TRUE,TRUE
"Actn1",TRUE,FALSE,FALSE
"Actn2",TRUE,TRUE,TRUE
"Adamts3",TRUE,TRUE,TRUE
"Adcy5",TRUE,TRUE,TRUE
"Adgrg2",TRUE,FALSE,FALSE
"Adora2a",TRUE,TRUE,TRUE
"Adra2b",TRUE,TRUE,TRUE
"Adra2c",TRUE,TRUE,TRUE
"Agtr1a",TRUE,TRUE,TRUE
"Ahi1",TRUE,TRUE,TRUE
"Ak7",TRUE,TRUE,FALSE
"Akap5",TRUE,TRUE,FALSE
"Akap9",TRUE,TRUE,TRUE
"Alcam",TRUE,TRUE,TRUE
"Amz1",TRUE,TRUE,TRUE
"Ankrd63",TRUE,TRUE,TRUE
"Ano2",TRUE,TRUE,TRUE
"Arhgap36",TRUE,TRUE,TRUE
"Arhgap6",TRUE,TRUE,TRUE
"Asic4",TRUE,TRUE,TRUE
"Avpr1a",TRUE,TRUE,TRUE
"BB031773",TRUE,TRUE,TRUE
"Baiap3",TRUE,TRUE,TRUE
"Bcl11b",TRUE,TRUE,TRUE
"C130012C08Rik",TRUE,TRUE,TRUE
"C230014O12Rik",TRUE,FALSE,FALSE
"Cacna2d3",TRUE,TRUE,FALSE
"Cacng1",TRUE,TRUE,TRUE
"Calcr",TRUE,TRUE,TRUE
"Ccdc187",TRUE,TRUE,TRUE
"Cckar",TRUE,TRUE,TRUE
"Cd4",TRUE,TRUE,TRUE
"Cd72",TRUE,TRUE,TRUE
"Cdca7",TRUE,TRUE,FALSE
"Cdh13",TRUE,TRUE,FALSE
"Cdh4",TRUE,TRUE,TRUE
"Cftr",TRUE,TRUE,TRUE
"Chat",TRUE,TRUE,TRUE
"Clec12a",TRUE,TRUE,TRUE
"Clic6",TRUE,TRUE,TRUE
"Clspn",TRUE,TRUE,TRUE
"Cntnap3",TRUE,TRUE,FALSE
"Col25a1",TRUE,TRUE,TRUE
"Cpne5",TRUE,TRUE,TRUE
"Crabp1",TRUE,TRUE,TRUE
"Crym",TRUE,FALSE,FALSE
"Csmd3",TRUE,FALSE,TRUE
"Cyld",TRUE,TRUE,TRUE
"D430036J16Rik",TRUE,TRUE,TRUE
"D7Ertd443e",TRUE,TRUE,TRUE
"Dach1",TRUE,TRUE,TRUE
"Dchs2",TRUE,TRUE,TRUE
"Dclk3",TRUE,TRUE,FALSE
"Ddx11",TRUE,FALSE,FALSE
"Dgkb",TRUE,TRUE,TRUE
"Dgkk",TRUE,TRUE,TRUE
"Dio3",TRUE,TRUE,FALSE
"Dlk1",TRUE,TRUE,TRUE
"Dlx2",TRUE,TRUE,TRUE
"Dlx5",TRUE,TRUE,TRUE
"Dlx6",TRUE,TRUE,TRUE
"Dlx6os1",TRUE,TRUE,TRUE
"Drd1",TRUE,TRUE,TRUE
"Drd2",TRUE,TRUE,TRUE
"Drd3",TRUE,TRUE,TRUE
"Dsg1c",TRUE,TRUE,TRUE
"E130008D07Rik",TRUE,TRUE,TRUE
"Ecel1",TRUE,TRUE,TRUE
"Edar",TRUE,FALSE,FALSE
"Entpd3",TRUE,TRUE,TRUE
"Epor",TRUE,TRUE,TRUE
"Erich3",TRUE,TRUE,TRUE
"Esyt3",TRUE,TRUE,TRUE
"Fancb",TRUE,FALSE,TRUE
"Fgf3",TRUE,TRUE,TRUE
"Fign",TRUE,TRUE,TRUE
"Filip1",TRUE,TRUE,TRUE
"Fndc9",TRUE,TRUE,TRUE
"Foxp2",TRUE,TRUE,TRUE
"Fras1",TRUE,TRUE,TRUE
"Gabrq",TRUE,TRUE,TRUE
"Gad2",TRUE,TRUE,TRUE
"Galr1",TRUE,TRUE,TRUE
"Gbx2",TRUE,TRUE,TRUE
"Gcnt2",TRUE,TRUE,TRUE
"Gdnf",TRUE,TRUE,TRUE
"Gipc2",TRUE,TRUE,TRUE
"Glp1r",TRUE,TRUE,TRUE
"Gm10710",TRUE,TRUE,TRUE
"Gm10754",TRUE,TRUE,TRUE
"Gm13112",TRUE,TRUE,TRUE
"Gm136",TRUE,TRUE,TRUE
"Gm31251",TRUE,TRUE,TRUE
"Gm33651",TRUE,TRUE,TRUE
"Gm34081",TRUE,TRUE,TRUE
"Gm35281",TRUE,TRUE,TRUE
"Gm36737",TRUE,TRUE,TRUE
"Gm38575",TRUE,TRUE,TRUE
"Gm39043",TRUE,TRUE,TRUE
"Gm39244",TRUE,TRUE,TRUE
"Gm42858",TRUE,FALSE,FALSE
"Gm44593",TRUE,TRUE,TRUE
"Gm45645",TRUE,TRUE,TRUE
"Gm50370",TRUE,FALSE,FALSE
"Gm7244",TRUE,TRUE,TRUE
"Gnal",TRUE,TRUE,TRUE
"Gng7",TRUE,TRUE,TRUE
"Gpc3",TRUE,TRUE,TRUE
"Gpr101",TRUE,TRUE,TRUE
"Gpr149",TRUE,TRUE,TRUE
"Gpr52",TRUE,TRUE,TRUE
"Gpr6",TRUE,TRUE,TRUE
"Gpr88",TRUE,TRUE,TRUE
"Grb10",TRUE,TRUE,TRUE
"Grem2",TRUE,TRUE,FALSE
"Grm5",TRUE,TRUE,FALSE
"Gsx2",TRUE,TRUE,TRUE
"Gucy1a1",TRUE,TRUE,FALSE
"Hap1",TRUE,TRUE,TRUE
"Hcn4",TRUE,TRUE,TRUE
"Hpcal1",TRUE,TRUE,FALSE
"Hs6st2",TRUE,TRUE,FALSE
"Htr1b",TRUE,TRUE,TRUE
"Htr1d",TRUE,TRUE,TRUE
"Htr2c",TRUE,TRUE,TRUE
"Il2rb",TRUE,TRUE,TRUE
"Insyn2b",TRUE,TRUE,TRUE
"Iqub",TRUE,TRUE,FALSE
"Irs4",TRUE,TRUE,TRUE
"Jsrp1",TRUE,TRUE,TRUE
"Kcna5",TRUE,TRUE,TRUE
"Kcnab1",TRUE,TRUE,TRUE
"Kcnj2",TRUE,TRUE,TRUE
"Kif27",TRUE,TRUE,TRUE
"Klhl13",TRUE,TRUE,TRUE
"Krt9",TRUE,TRUE,TRUE
"Lbhd2",TRUE,TRUE,TRUE
"Lhx8",TRUE,TRUE,TRUE
"Lmo7",TRUE,FALSE,FALSE
"Magel2",TRUE,TRUE,TRUE
"Mc3r",TRUE,TRUE,TRUE
"Mei4",TRUE,TRUE,TRUE
"Meis1",TRUE,TRUE,TRUE
"Meis2",TRUE,TRUE,TRUE
"Mhrt",TRUE,TRUE,TRUE
"Mme",TRUE,TRUE,TRUE
"Msantd1",TRUE,FALSE,FALSE
"Musk",TRUE,TRUE,FALSE
"Myo3b",TRUE,TRUE,TRUE
"Necab2",TRUE,TRUE,TRUE
"Nexn",TRUE,TRUE,TRUE
"Ngfr",TRUE,TRUE,TRUE
"Nhs",TRUE,TRUE,TRUE
"Nkx2-1",TRUE,TRUE,TRUE
"Nlrp10",TRUE,TRUE,FALSE
"Nmbr",TRUE,FALSE,TRUE
"Nnat",TRUE,TRUE,TRUE
"Nos1",TRUE,TRUE,TRUE
"Nrsn2",TRUE,TRUE,TRUE
"Nt5e",TRUE,FALSE,TRUE
"Ntrk1",TRUE,TRUE,TRUE
"Olfr1393",TRUE,TRUE,TRUE
"Otof",TRUE,TRUE,TRUE
"Otx2",TRUE,TRUE,FALSE
"Oxtr",TRUE,TRUE,FALSE
"P2ry1",TRUE,TRUE,TRUE
"Pbx3",TRUE,TRUE,TRUE
"Pcp4l1",TRUE,TRUE,TRUE
"Pcsk9",TRUE,TRUE,TRUE
"Pde10a",TRUE,TRUE,TRUE
"Pde1b",TRUE,TRUE,TRUE
"Pde1c",TRUE,TRUE,TRUE
"Pde7b",TRUE,TRUE,TRUE
"Pdyn",TRUE,TRUE,FALSE
"Pdzd3",TRUE,TRUE,TRUE
"Peg10",TRUE,TRUE,TRUE
"Penk",TRUE,TRUE,TRUE
"Pgr15l",TRUE,TRUE,TRUE
"Phex",TRUE,TRUE,TRUE
"Pi16",TRUE,TRUE,TRUE
"Plppr1",TRUE,TRUE,TRUE
"Pnmt",TRUE,FALSE,TRUE
"Pnp2",TRUE,TRUE,TRUE
"Pou3f4",TRUE,TRUE,TRUE
"Ppp1r1b",TRUE,TRUE,TRUE
"Prdm12",TRUE,TRUE,TRUE
"Prima1",TRUE,TRUE,TRUE
"Prkar2b",TRUE,TRUE,FALSE
"Prkch",TRUE,TRUE,TRUE
"Prlr",TRUE,TRUE,TRUE
"Prok2",TRUE,TRUE,TRUE
"Prokr2",TRUE,TRUE,TRUE
"Prss56",TRUE,FALSE,FALSE
"Ptpn5",TRUE,TRUE,TRUE
"Ptpn7",TRUE,TRUE,TRUE
"Qrfprl",TRUE,TRUE,TRUE
"Rapsn",TRUE,TRUE,TRUE
"Rarb",TRUE,TRUE,TRUE
"Rasd2",TRUE,TRUE,TRUE
"Rasgrp2",TRUE,TRUE,TRUE
"Rec8",TRUE,TRUE,TRUE
"Rem2",TRUE,TRUE,TRUE
"Retnla",TRUE,TRUE,TRUE
"Rftn1",TRUE,TRUE,TRUE
"Rgs2",TRUE,TRUE,TRUE
"Rgs9",TRUE,TRUE,TRUE
"Rhbdl3",TRUE,TRUE,TRUE
"Ric8b",TRUE,TRUE,TRUE
"Rps6ka5",TRUE,TRUE,TRUE
"Rxrg",TRUE,TRUE,TRUE
"Scn4b",TRUE,TRUE,TRUE
"Scn5a",TRUE,TRUE,TRUE
"Scn9a",TRUE,TRUE,TRUE
"Scube3",TRUE,TRUE,TRUE
"Serpina9",TRUE,TRUE,TRUE
"Sez6",TRUE,TRUE,FALSE
"Sfta3-ps",TRUE,TRUE,TRUE
"Sh3rf2",TRUE,TRUE,TRUE
"Six3",TRUE,TRUE,TRUE
"Six3os1",TRUE,TRUE,TRUE
"Slc10a4",TRUE,TRUE,TRUE
"Slc17a8",TRUE,FALSE,TRUE
"Slc18a3",TRUE,TRUE,TRUE
"Slc22a3",TRUE,TRUE,TRUE
"Slc35d3",TRUE,TRUE,TRUE
"Slc35f1",TRUE,TRUE,FALSE
"Slc37a1",TRUE,TRUE,FALSE
"Slc5a7",TRUE,TRUE,TRUE
"Slc6a3",TRUE,TRUE,TRUE
"Slitrk6",TRUE,TRUE,TRUE
"Smarca1",TRUE,FALSE,FALSE
"Smpd3",TRUE,TRUE,TRUE
"Smpdl3b",TRUE,TRUE,TRUE
"Sox1ot",TRUE,TRUE,TRUE
"Sp8",TRUE,TRUE,TRUE
"Sp9",TRUE,TRUE,TRUE
"Spint1",TRUE,TRUE,TRUE
"Spock3",TRUE,FALSE,TRUE
"Srgap1",TRUE,TRUE,TRUE
"St8sia2",TRUE,TRUE,FALSE
"St8sia3",TRUE,TRUE,FALSE
"Stk32a",TRUE,TRUE,TRUE
"Stk33",TRUE,TRUE,TRUE
"Strip2",TRUE,TRUE,TRUE
"Strit1",TRUE,TRUE,FALSE
"Sulf1",TRUE,TRUE,TRUE
"Sv2c",TRUE,TRUE,TRUE
"Syndig1l",TRUE,TRUE,TRUE
"Syt6",TRUE,TRUE,TRUE
"Syt9",TRUE,FALSE,FALSE
"Tac1",TRUE,TRUE,TRUE
"Tacr1",TRUE,TRUE,TRUE
"Tacr3",TRUE,TRUE,TRUE
"Tbc1d8",TRUE,TRUE,TRUE
"Tcfl5",TRUE,TRUE,TRUE
"Tenm3",TRUE,FALSE,FALSE
"Th",TRUE,TRUE,TRUE
"Tmem132e",TRUE,TRUE,TRUE
"Tmem158",TRUE,TRUE,TRUE
"Tmem26",TRUE,TRUE,TRUE
"Togaram2",TRUE,TRUE,TRUE
"Tpbgl",TRUE,TRUE,TRUE
"Trh",TRUE,TRUE,TRUE
"Trhr",TRUE,TRUE,TRUE
"Trpc7",TRUE,TRUE,TRUE
"Tshr",TRUE,TRUE,FALSE
"Ttc22",TRUE,TRUE,FALSE
"Upb1",TRUE,TRUE,TRUE
"Vat1l",TRUE,TRUE,TRUE
"Wnt2",TRUE,TRUE,TRUE
"Xkrx",TRUE,TRUE,TRUE
"Zcchc12",TRUE,TRUE,TRUE
"Zdbf2",TRUE,TRUE,TRUE
"Zfhx3",TRUE,TRUE,TRUE
"Zfp503",TRUE,TRUE,TRUE
"Zfp618",TRUE,TRUE,TRUE
"Zfp804a",TRUE,TRUE,TRUE
"Zfp92",TRUE,TRUE,TRUE
"Zic1",TRUE,TRUE,FALSE
"Zp1",TRUE,TRUE,TRUE
"1110015O18Rik",FALSE,TRUE,TRUE
"1110017D15Rik",FALSE,TRUE,FALSE
"1700012B09Rik",FALSE,TRUE,TRUE
"1700021F07Rik",FALSE,TRUE,FALSE
"1700024G13Rik",FALSE,TRUE,FALSE
"1700037H04Rik",FALSE,TRUE,FALSE
"1700095J03Rik",FALSE,TRUE,TRUE
"1810020O05Rik",FALSE,TRUE,TRUE
"2010001K21Rik",FALSE,TRUE,FALSE
"2310075C17Rik",FALSE,TRUE,FALSE
"2410004P03Rik",FALSE,TRUE,FALSE
"2410124H12Rik",FALSE,TRUE,FALSE
"2600006K01Rik",FALSE,TRUE,FALSE
"2700033N17Rik",FALSE,TRUE,TRUE
"3300002A11Rik",FALSE,TRUE,FALSE
"4833427G06Rik",FALSE,TRUE,FALSE
"4921525O09Rik",FALSE,TRUE,TRUE
"4930417O13Rik",FALSE,TRUE,FALSE
"4931429P17Rik",FALSE,TRUE,FALSE
"4933403O08Rik",FALSE,TRUE,TRUE
"5330425B07Rik",FALSE,TRUE,TRUE
"6330403K07Rik",FALSE,TRUE,TRUE
"6330410L21Rik",FALSE,TRUE,FALSE
"6430571L13Rik",FALSE,TRUE,FALSE
"6430628N08Rik",FALSE,TRUE,TRUE
"9130230N09Rik",FALSE,TRUE,TRUE
"A230103J11Rik",FALSE,TRUE,TRUE
"A2m",FALSE,TRUE,FALSE
"A330094K24Rik",FALSE,TRUE,FALSE
"A730085K08Rik",FALSE,TRUE,TRUE
"AC151602.1",FALSE,TRUE,FALSE
"AI467606",FALSE,TRUE,FALSE
"AI606473",FALSE,TRUE,TRUE
"Abca4",FALSE,TRUE,TRUE
"Abcc9",FALSE,TRUE,FALSE
"Ablim2",FALSE,TRUE,TRUE
"Ace",FALSE,TRUE,TRUE
"Acer2",FALSE,TRUE,TRUE
"Ache",FALSE,TRUE,TRUE
"Acly",FALSE,TRUE,TRUE
"Acox2",FALSE,TRUE,FALSE
"Acsm5",FALSE,TRUE,FALSE
"Acss3",FALSE,TRUE,FALSE
"Acta2",FALSE,TRUE,FALSE
"Acvr1c",FALSE,TRUE,TRUE
"Adam12",FALSE,TRUE,TRUE
"Adamts4",FALSE,TRUE,TRUE
"Adgb",FALSE,TRUE,FALSE
"Adgrg1",FALSE,TRUE,FALSE
"Agbl2",FALSE,TRUE,FALSE
"Agt",FALSE,TRUE,TRUE
"Agtr2",FALSE,TRUE,TRUE
"Ak9",FALSE,TRUE,TRUE
"Akap14",FALSE,TRUE,FALSE
"Akr1c13",FALSE,TRUE,FALSE
"Aldh1b1",FALSE,TRUE,FALSE
"Alk",FALSE,TRUE,TRUE
"Alox12e",FALSE,TRUE,FALSE
"Alox5",FALSE,TRUE,FALSE
"Amotl1",FALSE,TRUE,TRUE
"Angptl2",FALSE,TRUE,FALSE
"Ankdd1a",FALSE,TRUE,TRUE
"Ankfn1",FALSE,TRUE,TRUE
"Ankrd2",FALSE,TRUE,FALSE
"Ankrd34b",FALSE,TRUE,TRUE
"Ankrd55",FALSE,TRUE,TRUE
"Ankrd6",FALSE,TRUE,FALSE
"Ano1",FALSE,TRUE,TRUE
"Ano3",FALSE,TRUE,TRUE
"Ap1s2",FALSE,TRUE,TRUE
"Apeh",FALSE,TRUE,FALSE
"Aplnr",FALSE,TRUE,FALSE
"Apol6",FALSE,TRUE,FALSE
"Aqp1",FALSE,TRUE,TRUE
"Arel1",FALSE,TRUE,FALSE
"Arg1",FALSE,TRUE,FALSE
"Arhgap24",FALSE,TRUE,TRUE
"Arhgap27",FALSE,TRUE,TRUE
"Arhgap27os1",FALSE,TRUE,TRUE
"Arhgef16",FALSE,TRUE,TRUE
"Arhgef38",FALSE,TRUE,FALSE
"Arhgef39",FALSE,TRUE,TRUE
"Arl10",FALSE,TRUE,FALSE
"Armc4",FALSE,TRUE,FALSE
"Asb4",FALSE,TRUE,TRUE
"Asic1",FALSE,TRUE,FALSE
"Ass1",FALSE,TRUE,TRUE
"Atg9b",FALSE,TRUE,FALSE
"Atp10b",FALSE,TRUE,TRUE
"Atp6v1c2",FALSE,TRUE,FALSE
"Avp",FALSE,TRUE,FALSE
"B230323A14Rik",FALSE,TRUE,TRUE
"B3galt5",FALSE,TRUE,TRUE
"B3gnt3",FALSE,TRUE,FALSE
"B3gnt7",FALSE,TRUE,FALSE
"B630019K06Rik",FALSE,TRUE,TRUE
"BC035947",FALSE,TRUE,TRUE
"BC049352",FALSE,TRUE,TRUE
"BC051019",FALSE,TRUE,FALSE
"BC055324",FALSE,TRUE,FALSE
"BC067074",FALSE,TRUE,TRUE
"BX322656.1",FALSE,TRUE,FALSE
"Baiap2l1",FALSE,TRUE,FALSE
"Barhl2",FALSE,TRUE,FALSE
"Bbox1",FALSE,TRUE,FALSE
"Bbx",FALSE,TRUE,TRUE
"Bcam",FALSE,TRUE,TRUE
"Bend7",FALSE,TRUE,TRUE
"Blcap",FALSE,TRUE,FALSE
"Bmp2",FALSE,TRUE,FALSE
"Bnipl",FALSE,TRUE,TRUE
"Bpifb6",FALSE,TRUE,FALSE
"Brip1",FALSE,TRUE,FALSE
"Brs3",FALSE,TRUE,TRUE
"Bves",FALSE,TRUE,TRUE
"C130073E24Rik",FALSE,TRUE,TRUE
"C130093G08Rik",FALSE,TRUE,TRUE
"C1qtnf3",FALSE,TRUE,FALSE
"C230072F16Rik",FALSE,TRUE,FALSE
"C3",FALSE,TRUE,TRUE
"C4b",FALSE,TRUE,FALSE
"C78197",FALSE,TRUE,FALSE
"Cabcoco1",FALSE,TRUE,FALSE
"Cachd1",FALSE,TRUE,FALSE
"Cacna2d2",FALSE,TRUE,TRUE
"Cacng4",FALSE,TRUE,TRUE
"Cacng5",FALSE,TRUE,TRUE
"Calb2",FALSE,TRUE,FALSE
"Calml4",FALSE,TRUE,FALSE
"Cand2",FALSE,TRUE,FALSE
"Capsl",FALSE,TRUE,FALSE
"Car12",FALSE,TRUE,TRUE
"Car3",FALSE,TRUE,FALSE
"Car9",FALSE,TRUE,FALSE
"Carhsp1",FALSE,TRUE,TRUE
"Casq2",FALSE,TRUE,FALSE
"Casr",FALSE,TRUE,TRUE
"Cbln4",FALSE,TRUE,TRUE
"Ccdc113",FALSE,TRUE,FALSE
"Ccdc121",FALSE,TRUE,FALSE
"Ccdc146",FALSE,TRUE,FALSE
"Ccdc153",FALSE,TRUE,FALSE
"Ccdc162",FALSE,TRUE,TRUE
"Ccdc170",FALSE,TRUE,FALSE
"Ccdc180",FALSE,TRUE,FALSE
"Ccdc33",FALSE,TRUE,FALSE
"Ccdc40",FALSE,TRUE,FALSE
"Ccdc60",FALSE,TRUE,TRUE
"Ccdc81",FALSE,TRUE,FALSE
"Ccl2",FALSE,TRUE,FALSE
"Ccl8",FALSE,TRUE,TRUE
"Ccna2",FALSE,TRUE,FALSE
"Cd74",FALSE,TRUE,FALSE
"Cd82",FALSE,TRUE,FALSE
"Cd93",FALSE,TRUE,FALSE
"Cdc20",FALSE,TRUE,FALSE
"Cdh15",FALSE,TRUE,FALSE
"Cdh23",FALSE,TRUE,FALSE
"Cdhr1",FALSE,TRUE,FALSE
"Cdhr2",FALSE,TRUE,TRUE
"Cdhr3",FALSE,TRUE,FALSE
"Cdhr4",FALSE,TRUE,TRUE
"Ceacam10",FALSE,TRUE,TRUE
"Celf6",FALSE,TRUE,FALSE
"Cemip2",FALSE,TRUE,FALSE
"Cenpf",FALSE,TRUE,FALSE
"Ces1d",FALSE,TRUE,FALSE
"Cfap126",FALSE,TRUE,FALSE
"Cfap157",FALSE,TRUE,FALSE
"Cfap161",FALSE,TRUE,FALSE
"Cfap43",FALSE,TRUE,FALSE
"Cfap44",FALSE,TRUE,FALSE
"Cfap52",FALSE,TRUE,FALSE
"Cfap53",FALSE,TRUE,FALSE
"Cfap73",FALSE,TRUE,FALSE
"Cfap77",FALSE,TRUE,FALSE
"Chdh",FALSE,TRUE,FALSE
"Chga",FALSE,TRUE,FALSE
"Chodl",FALSE,TRUE,TRUE
"Chrm2",FALSE,TRUE,TRUE
"Chrm4",FALSE,TRUE,FALSE
"Chrm5",FALSE,TRUE,TRUE
"Chrna10",FALSE,TRUE,TRUE
"Chrna2",FALSE,TRUE,TRUE
"Chrna3",FALSE,TRUE,FALSE
"Chrnb2",FALSE,TRUE,FALSE
"Chrnb4",FALSE,TRUE,TRUE
"Chrne",FALSE,TRUE,FALSE
"Chst11",FALSE,TRUE,FALSE
"Chst15",FALSE,TRUE,FALSE
"Chst3",FALSE,TRUE,FALSE
"Cilp",FALSE,TRUE,FALSE
"Clcn5",FALSE,TRUE,TRUE
"Cldn2",FALSE,TRUE,TRUE
"Cldn3",FALSE,TRUE,FALSE
"Cldn9",FALSE,TRUE,FALSE
"Clec3b",FALSE,TRUE,FALSE
"Clip4",FALSE,TRUE,FALSE
"Cnga3",FALSE,TRUE,TRUE
"Cngb1",FALSE,TRUE,TRUE
"Cnksr3",FALSE,TRUE,FALSE
"Cnmd",FALSE,TRUE,FALSE
"Cnr2",FALSE,TRUE,FALSE
"Cntnap2",FALSE,TRUE,FALSE
"Cntnap5a",FALSE,TRUE,FALSE
"Col17a1",FALSE,TRUE,TRUE
"Col4a1",FALSE,TRUE,FALSE
"Col4a2",FALSE,TRUE,FALSE
"Col4a3",FALSE,TRUE,FALSE
"Col8a2",FALSE,TRUE,FALSE
"Col9a3",FALSE,TRUE,FALSE
"Corin",FALSE,TRUE,FALSE
"Cp",FALSE,TRUE,FALSE
"Cpn1",FALSE,TRUE,TRUE
"Crb1",FALSE,TRUE,TRUE
"Creb3l2",FALSE,TRUE,FALSE
"Crhr2",FALSE,TRUE,TRUE
"Crocc2",FALSE,TRUE,FALSE
"Crybg3",FALSE,TRUE,TRUE
"Crygn",FALSE,TRUE,FALSE
"Cspg4",FALSE,TRUE,FALSE
"Ctxn2",FALSE,TRUE,TRUE
"Cxcl13",FALSE,TRUE,FALSE
"Cxcl5",FALSE,TRUE,FALSE
